Training sample index;Branch count;Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Loop iterations;Intra cache usage global;Inter cache usage global;Intra collision global;Intra cohaleshing global;Intra cache usage local;Intra collision local;Intra cohaleshing local;Cache Misses;Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0;1;1;1;0;0;0;4;0;0;2;0;0;0;16384;16384;0;64;64;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;2.99;3.06;2.62
0;1;1;1;0;0;0;4;0;0;2;0;0;0;65536;65536;0;128;128;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;3.31;3.66;3.02
0;1;1;1;0;0;0;4;0;0;2;0;0;0;147456;147456;0;192;192;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;3.65;4.11;3.12
0;1;1;1;0;0;0;4;0;0;2;0;0;0;262144;262144;0;256;256;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;3.26;4.25;3.24
0;1;1;1;0;0;0;4;0;0;2;0;0;0;409600;409600;0;320;320;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;3.34;4.43;3.22
0;1;1;1;0;0;0;4;0;0;2;0;0;0;589824;589824;0;384;384;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;3.4;4.79;3.59
0;1;1;1;0;0;0;4;0;0;2;0;0;0;802816;802816;0;448;448;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;3.73;5.41;3.51
0;1;1;1;0;0;0;4;0;0;2;0;0;0;1048576;1048576;0;512;512;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;4.47;6.12;4.3
0;1;1;1;0;0;0;4;0;0;2;0;0;0;1327104;1327104;0;576;576;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;4.18;6.85;4.13
0;1;1;1;0;0;0;4;0;0;2;0;0;0;1638400;1638400;0;640;640;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;4.52;8.84;4.87
0;1;1;1;0;0;0;4;0;0;2;0;0;0;1982464;1982464;0;704;704;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;4.84;9.35;4.98
0;1;1;1;0;0;0;4;0;0;2;0;0;0;2359296;2359296;0;768;768;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;5.75;15;5.73
0;1;1;1;0;0;0;4;0;0;2;0;0;0;2768896;2768896;0;832;832;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;5.3;12.26;6.02
0;1;1;1;0;0;0;4;0;0;2;0;0;0;3211264;3211264;0;896;896;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;5.9;13.01;6.41
0;1;1;1;0;0;0;4;0;0;2;0;0;0;3686400;3686400;0;960;960;1;16;16;1;0;0.0625;1;0;1;0;0;1;0;6.12;13.83;6.59
