Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density;Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Agorithm
0;2;1;0;0;0;1;0;0;0;0;0;0;16384;8192;0;2048;1;1;128;1;1;1;0,083;0,167;1,19;1,17;0,93;0
0;2;1;0;0;0;1;0;0;0;0;0;0;32768;16384;0;4096;1;1;128;1;1;1;0,083;0,167;1,25;1,23;0,95;0
0;2;1;0;0;0;1;0;0;0;0;0;0;65536;32768;0;8192;1;1;128;1;1;1;0,083;0,167;1,30;1,28;0,91;0
0;2;1;0;0;0;1;0;0;0;0;0;0;131072;65536;0;16384;1;1;128;1;1;1;0,083;0,167;1,39;1,37;0,94;0
0;2;1;0;0;0;1;0;0;0;0;0;0;262144;131072;0;32768;1;1;128;1;1;1;0,083;0,167;1,37;1,32;1,02;0
0;2;1;0;0;0;1;0;0;0;0;0;0;524288;262144;0;65536;1;1;128;1;1;1;0,083;0,167;2,05;1,59;1,26;0
0;2;1;0;0;0;1;0;0;0;0;0;0;1048576;524288;0;131072;1;1;128;1;1;1;0,083;0,167;2,18;1,94;1,37;0
0;2;1;0;0;0;1;0;0;0;0;0;0;2097152;1048576;0;262144;1;1;128;1;1;1;0,083;0,167;2,68;2,50;2,12;0
0;2;1;0;0;0;1;0;0;0;0;0;0;4194304;2097152;0;524288;1;1;128;1;1;1;0,083;0,167;3,72;3,40;2,67;0
0;2;1;0;0;0;1;0;0;0;0;0;0;8388608;4194304;0;1048576;1;1;128;1;1;1;0,083;0,167;5,73;5,04;4,35;0
0;2;1;0;0;0;1;0;0;0;0;0;0;16777216;8388608;0;2097152;1;1;128;1;1;1;0,083;0,167;9,66;8,42;7,66;0
0;2;1;0;0;0;1;0;0;0;0;0;0;33554432;16777216;0;4194304;1;1;128;1;1;1;0,083;0,167;18,25;14,78;14,80;0
0;2;1;0;0;0;1;0;0;0;0;0;0;67108864;33554432;0;8388608;1;1;128;1;1;1;0,083;0,167;35,07;30,55;28,94;0
0;2;1;0;0;0;1;0;0;0;0;0;0;134217728;67108864;0;16777216;1;1;128;1;1;1;0,083;0,167;72,45;66,03;58,42;0
0;128;1;0;0;0;248;0;8;0;0;0;0;32768;16384;0;64;64;1;16;16;1;1;20,667;10,667;3,01;2,22;2,46;1
0;256;1;0;0;0;496;0;16;0;0;0;0;131072;65536;0;128;128;1;16;16;1;1;41,333;21,333;2,96;3,25;3,15;1
0;384;1;0;0;0;744;0;24;0;0;0;0;294912;147456;0;192;192;1;16;16;1;1;62,000;32,000;3,24;4,30;4,82;1
0;512;1;0;0;0;992;0;32;0;0;0;0;524288;262144;0;256;256;1;16;16;1;1;82,667;42,667;3,32;6,61;7,42;1
0;640;1;0;0;0;1240;0;40;0;0;0;0;819200;409600;0;320;320;1;16;16;1;1;103,333;53,333;4,13;12,34;12,63;1
0;768;1;0;0;0;1488;0;48;0;0;0;0;1179648;589824;0;384;384;1;16;16;1;1;124,000;64,000;4,77;18,54;20,47;1
