Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Filter Width (elements);Filter Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
3,27;3,66;3,67;64;64;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;17460;16384;0;64;64;1;16;16;1;1;7,504;1,089
4,65;3,99;3,61;128;128;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;67636;65536;0;128;128;1;16;16;1;1;7,628;1,107
4,41;3,92;3,52;192;192;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;150580;147456;0;192;192;1;16;16;1;1;7,669;1,113
4,16;3,69;3,39;256;256;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;266292;262144;0;256;256;1;16;16;1;1;7,689;1,116
4,23;4,36;4,33;320;320;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;414772;409600;0;320;320;1;16;16;1;1;7,701;1,118
4,35;4,80;4,24;384;384;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;596020;589824;0;384;384;1;16;16;1;1;7,710;1,119
4,11;3,87;4,35;448;448;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;810036;802816;0;448;448;1;16;16;1;1;7,715;1,120
4,46;4,18;4,40;512;512;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;1056820;1048576;0;512;512;1;16;16;1;1;7,720;1,121
4,84;5,05;5,66;576;576;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;1336372;1327104;0;576;576;1;16;16;1;1;7,723;1,121
5,71;5,03;5,99;640;640;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;1648692;1638400;0;640;640;1;16;16;1;1;7,726;1,121
5,20;5,15;6,20;704;704;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;1993780;1982464;0;704;704;1;16;16;1;1;7,728;1,122
5,84;5,72;6,41;768;768;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;2371636;2359296;0;768;768;1;16;16;1;1;7,730;1,122
5,70;5,87;6,69;832;832;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;2782260;2768896;0;832;832;1;16;16;1;1;7,731;1,122
6,31;6,71;7,60;896;896;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;3225652;3211264;0;896;896;1;16;16;1;1;7,733;1,122
6,77;6,58;8,53;960;960;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;3701812;3686400;0;960;960;1;16;16;1;1;7,734;1,123
7,25;7,06;9,57;1024;1024;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;4210740;4194304;0;1024;1024;1;16;16;1;1;7,735;1,123
7,63;7,21;10,14;1088;1088;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;4752436;4734976;0;1088;1088;1;16;16;1;1;7,736;1,123
8,23;7,28;10,11;1152;1152;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;5326900;5308416;0;1152;1152;1;16;16;1;1;7,737;1,123
8,29;7,42;10,88;1216;1216;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;5934132;5914624;0;1216;1216;1;16;16;1;1;7,737;1,123
9,18;7,75;11,49;1280;1280;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;6574132;6553600;0;1280;1280;1;16;16;1;1;7,738;1,123
10,11;8,82;13,54;1344;1344;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;7246900;7225344;0;1344;1344;1;16;16;1;1;7,738;1,123
10,00;8,75;13,57;1408;1408;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;7952436;7929856;0;1408;1408;1;16;16;1;1;7,739;1,123
10,43;9,32;15,22;1472;1472;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;8690740;8667136;0;1472;1472;1;16;16;1;1;7,739;1,123
11,82;9,91;15,16;1536;1536;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;9461812;9437184;0;1536;1536;1;16;16;1;1;7,740;1,124
12,03;10,28;16,99;1600;1600;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;10265652;10240000;0;1600;1600;1;16;16;1;1;7,740;1,124
12,69;11,23;18,81;1664;1664;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;11102260;11075584;0;1664;1664;1;16;16;1;1;7,741;1,124
13,77;11,73;19,78;1728;1728;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;11971636;11943936;0;1728;1728;1;16;16;1;1;7,741;1,124
15,06;12,41;19,53;1792;1792;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;12873780;12845056;0;1792;1792;1;16;16;1;1;7,741;1,124
15,24;12,94;20,12;1856;1856;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;13808692;13778944;0;1856;1856;1;16;16;1;1;7,742;1,124
16,27;12,99;22,40;1920;1920;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;14776372;14745600;0;1920;1920;1;16;16;1;1;7,742;1,124
17,73;13,30;23,23;1984;1984;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;15776820;15745024;0;1984;1984;1;16;16;1;1;7,742;1,124
18,72;14,80;24,46;2048;2048;3;3;0;9;1;0;0;9;62;0;0;0;0;0;0;16810036;16777216;0;2048;2048;1;16;16;1;1;7,742;1,124
3,35;4,25;2,87;64;64;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;18596;16384;0;64;64;1;16;16;1;1;17,799;2,927
3,43;4,17;4,12;128;128;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;69796;65536;0;128;128;1;16;16;1;1;18,402;3,027
3,80;4,49;3,33;192;192;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;153764;147456;0;192;192;1;16;16;1;1;18,602;3,060
3,86;4,17;3,61;256;256;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;270500;262144;0;256;256;1;16;16;1;1;18,702;3,076
4,00;4,03;4,88;320;320;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;420004;409600;0;320;320;1;16;16;1;1;18,762;3,086
4,00;4,20;4,84;384;384;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;602276;589824;0;384;384;1;16;16;1;1;18,802;3,092
4,49;4,57;5,65;448;448;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;817316;802816;0;448;448;1;16;16;1;1;18,830;3,097
4,42;5,10;7,01;512;512;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;1065124;1048576;0;512;512;1;16;16;1;1;18,851;3,101
6,23;5,17;5,91;576;576;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;1345700;1327104;0;576;576;1;16;16;1;1;18,868;3,103
5,00;5,39;7,26;640;640;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;1659044;1638400;0;640;640;1;16;16;1;1;18,881;3,105
5,48;5,68;8,31;704;704;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;2005156;1982464;0;704;704;1;16;16;1;1;18,892;3,107
5,50;5,69;8,26;768;768;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;2384036;2359296;0;768;768;1;16;16;1;1;18,901;3,109
6,10;6,06;9,32;832;832;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;2795684;2768896;0;832;832;1;16;16;1;1;18,909;3,110
6,20;6,43;10,76;896;896;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;3240100;3211264;0;896;896;1;16;16;1;1;18,915;3,111
7,50;7,43;10,87;960;960;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;3717284;3686400;0;960;960;1;16;16;1;1;18,921;3,112
7,28;6,73;11,89;1024;1024;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;4227236;4194304;0;1024;1024;1;16;16;1;1;18,926;3,113
7,69;7,11;13,78;1088;1088;5;5;0;25;1;0;0;25;152;0;0;0;0;0;0;4769956;4734976;0;1088;1088;1;16;16;1;1;18,930;3,113
