Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
3,77;3,79;4,38;64;64;2;0;1;1;1;0;14;0;0;4;0;0;0;0;16384;1088;64;64;1;16;16;1;1;3,500;0,000
4,99;3,90;3,24;128;128;2;0;1;1;1;0;14;0;0;4;0;0;0;0;65536;1088;128;128;1;16;16;1;1;3,500;0,000
3,90;4,24;3,37;192;192;2;0;1;1;1;0;14;0;0;4;0;0;0;0;147456;1088;192;192;1;16;16;1;1;3,500;0,000
3,86;4,30;4,11;256;256;2;0;1;1;1;0;14;0;0;4;0;0;0;0;262144;1088;256;256;1;16;16;1;1;3,500;0,000
3,80;4,23;4,50;320;320;2;0;1;1;1;0;14;0;0;4;0;0;0;0;409600;1088;320;320;1;16;16;1;1;3,500;0,000
4,41;4,02;5,38;384;384;2;0;1;1;1;0;14;0;0;4;0;0;0;0;589824;1088;384;384;1;16;16;1;1;3,500;0,000
3,97;4,47;6,33;448;448;2;0;1;1;1;0;14;0;0;4;0;0;0;0;802816;1088;448;448;1;16;16;1;1;3,500;0,000
4,37;4,55;7,59;512;512;2;0;1;1;1;0;14;0;0;4;0;0;0;0;1048576;1088;512;512;1;16;16;1;1;3,500;0,000
4,51;5,13;8,09;576;576;2;0;1;1;1;0;14;0;0;4;0;0;0;0;1327104;1088;576;576;1;16;16;1;1;3,500;0,000
4,74;5,38;9,16;640;640;2;0;1;1;1;0;14;0;0;4;0;0;0;0;1638400;1088;640;640;1;16;16;1;1;3,500;0,000
5,41;5,99;10,09;704;704;2;0;1;1;1;0;14;0;0;4;0;0;0;0;1982464;1088;704;704;1;16;16;1;1;3,500;0,000
5,79;6,07;11,37;768;768;2;0;1;1;1;0;14;0;0;4;0;0;0;0;2359296;1088;768;768;1;16;16;1;1;3,500;0,000
5,96;6,73;13,06;832;832;2;0;1;1;1;0;14;0;0;4;0;0;0;0;2768896;1088;832;832;1;16;16;1;1;3,500;0,000
6,51;7,17;14,04;896;896;2;0;1;1;1;0;14;0;0;4;0;0;0;0;3211264;1088;896;896;1;16;16;1;1;3,500;0,000
7,11;7,68;16,50;960;960;2;0;1;1;1;0;14;0;0;4;0;0;0;0;3686400;1088;960;960;1;16;16;1;1;3,500;0,000
