Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
3,18;2,94;1,80;64;64;1;9;1;0;0;0;27;0;0;2;0;0;1;17424;16384;0;64;64;1;16;16;1;1;3,271;1,090
2,76;4,12;2,16;66;66;1;9;1;0;0;0;27;0;0;2;0;0;1;18496;17424;0;80;80;1;16;16;1;1;4,811;1,604
3,67;3,07;2,13;68;68;1;9;1;0;0;0;27;0;0;2;0;0;1;19600;18496;0;80;80;1;16;16;1;1;4,536;1,512
3,60;2,90;2,04;70;70;1;9;1;0;0;0;27;0;0;2;0;0;1;20736;19600;0;80;80;1;16;16;1;1;4,284;1,428
3,68;3,14;1,70;72;72;1;9;1;0;0;0;27;0;0;2;0;0;1;21904;20736;0;80;80;1;16;16;1;1;4,053;1,351
3,14;3,10;2,33;74;74;1;9;1;0;0;0;27;0;0;2;0;0;1;23104;21904;0;80;80;1;16;16;1;1;3,839;1,280
3,66;3,19;2,06;76;76;1;9;1;0;0;0;27;0;0;2;0;0;1;24336;23104;0;80;80;1;16;16;1;1;3,642;1,214
3,51;2,86;2,35;78;78;1;9;1;0;0;0;27;0;0;2;0;0;1;25600;24336;0;80;80;1;16;16;1;1;3,460;1,153
3,41;3,24;2,02;80;80;1;9;1;0;0;0;27;0;0;2;0;0;1;26896;25600;0;80;80;1;16;16;1;1;3,292;1,097
3,97;2,89;2,05;82;82;1;9;1;0;0;0;27;0;0;2;0;0;1;28224;26896;0;96;96;1;16;16;1;1;4,514;1,505
3,63;3,00;1,66;84;84;1;9;1;0;0;0;27;0;0;2;0;0;1;29584;28224;0;96;96;1;16;16;1;1;4,304;1,435
3,36;3,13;2,16;86;86;1;9;1;0;0;0;27;0;0;2;0;0;1;30976;29584;0;96;96;1;16;16;1;1;4,109;1,370
3,16;2,82;1,61;88;88;1;9;1;0;0;0;27;0;0;2;0;0;1;32400;30976;0;96;96;1;16;16;1;1;3,926;1,309
2,88;3,39;1,92;90;90;1;9;1;0;0;0;27;0;0;2;0;0;1;33856;32400;0;96;96;1;16;16;1;1;3,756;1,252
