Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Matrix Width (elements);Matrix Height (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
3,18;2,94;1,80;64;64;1;64;1;0;0;0;128;0;0;1;0;0;0;16384;256;0;64;1;1;64;1;1;1;0,492;0,246
2,76;4,12;2,16;66;66;1;66;1;0;0;0;132;0;0;1;0;0;0;17424;264;0;128;1;1;64;1;1;1;0,955;0,478
3,67;3,07;2,13;68;68;1;68;1;0;0;0;136;0;0;1;0;0;0;18496;272;0;128;1;1;64;1;1;1;0,928;0,464
3,60;2,90;2,04;70;70;1;70;1;0;0;0;140;0;0;1;0;0;0;19600;280;0;128;1;1;64;1;1;1;0,901;0,451
3,68;3,14;1,70;72;72;1;72;1;0;0;0;144;0;0;1;0;0;0;20736;288;0;128;1;1;64;1;1;1;0,877;0,438
3,14;3,10;2,33;74;74;1;74;1;0;0;0;148;0;0;1;0;0;0;21904;296;0;128;1;1;64;1;1;1;0,853;0,427
3,66;3,19;2,06;76;76;1;76;1;0;0;0;152;0;0;1;0;0;0;23104;304;0;128;1;1;64;1;1;1;0,831;0,416
3,51;2,86;2,35;78;78;1;78;1;0;0;0;156;0;0;1;0;0;0;24336;312;0;128;1;1;64;1;1;1;0,810;0,405
3,41;3,24;2,02;80;80;1;80;1;0;0;0;160;0;0;1;0;0;0;25600;320;0;128;1;1;64;1;1;1;0,790;0,395
3,97;2,89;2,05;82;82;1;82;1;0;0;0;164;0;0;1;0;0;0;26896;328;0;128;1;1;64;1;1;1;0,771;0,386
3,63;3,00;1,66;84;84;1;84;1;0;0;0;168;0;0;1;0;0;0;28224;336;0;128;1;1;64;1;1;1;0,753;0,376
3,36;3,13;2,16;86;86;1;86;1;0;0;0;172;0;0;1;0;0;0;29584;344;0;128;1;1;64;1;1;1;0,736;0,368
3,16;2,82;1,61;88;88;1;88;1;0;0;0;176;0;0;1;0;0;0;30976;352;0;128;1;1;64;1;1;1;0,719;0,360
2,88;3,39;1,92;90;90;1;90;1;0;0;0;180;0;0;1;0;0;0;32400;360;0;128;1;1;64;1;1;1;0,703;0,352
3,69;3,38;2,66;92;92;1;92;1;0;0;0;184;0;0;1;0;0;0;33856;368;0;128;1;1;64;1;1;1;0,688;0,344
3,04;2,73;1,84;94;94;1;94;1;0;0;0;188;0;0;1;0;0;0;35344;376;0;128;1;1;64;1;1;1;0,674;0,337
3,76;3,01;1,89;96;96;1;96;1;0;0;0;192;0;0;1;0;0;0;36864;384;0;128;1;1;64;1;1;1;0,660;0,330
3,60;3,12;2,21;98;98;1;98;1;0;0;0;196;0;0;1;0;0;0;38416;392;0;128;1;1;64;1;1;1;0,646;0,323
2,75;3,11;1,61;100;100;1;100;1;0;0;0;200;0;0;1;0;0;0;40000;400;0;128;1;1;64;1;1;1;0,634;0,317
3,66;3,68;2,17;102;102;1;102;1;0;0;0;204;0;0;1;0;0;0;41616;408;0;128;1;1;64;1;1;1;0,621;0,311
3,48;3,37;1,57;104;104;1;104;1;0;0;0;208;0;0;1;0;0;0;43264;416;0;128;1;1;64;1;1;1;0,610;0,305
2,92;3,28;2,11;106;106;1;106;1;0;0;0;212;0;0;1;0;0;0;44944;424;0;128;1;1;64;1;1;1;0,598;0,299
3,36;3,17;1,93;108;108;1;108;1;0;0;0;216;0;0;1;0;0;0;46656;432;0;128;1;1;64;1;1;1;0,587;0,294
3,05;3,27;1,78;110;110;1;110;1;0;0;0;220;0;0;1;0;0;0;48400;440;0;128;1;1;64;1;1;1;0,577;0,288
3,09;2,76;2,63;112;112;1;112;1;0;0;0;224;0;0;1;0;0;0;50176;448;0;128;1;1;64;1;1;1;0,566;0,283
4,05;3,49;1,63;114;114;1;114;1;0;0;0;228;0;0;1;0;0;0;51984;456;0;128;1;1;64;1;1;1;0,557;0,278
2,87;2,81;1,68;116;116;1;116;1;0;0;0;232;0;0;1;0;0;0;53824;464;0;128;1;1;64;1;1;1;0,547;0,274
