Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Vector Size (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls;Computation density;Memory access density
1,78;1,95;1,46;2048;0;2;1;0;0;0;1;0;0;0;0;0;0;16384;8192;0;2048;1;1;128;1;1;1;0,083;0,167
1,89;2,00;1,46;4096;0;2;1;0;0;0;1;0;0;0;0;0;0;32768;16384;0;4096;1;1;128;1;1;1;0,083;0,167
2,08;1,82;1,59;6144;0;2;1;0;0;0;1;0;0;0;0;0;0;49152;24576;0;6144;1;1;128;1;1;1;0,083;0,167
2,06;2,00;1,26;8192;0;2;1;0;0;0;1;0;0;0;0;0;0;65536;32768;0;8192;1;1;128;1;1;1;0,083;0,167
1,70;1,73;1,33;10240;0;2;1;0;0;0;1;0;0;0;0;0;0;81920;40960;0;10240;1;1;128;1;1;1;0,083;0,167
1,88;1,65;1,38;12288;0;2;1;0;0;0;1;0;0;0;0;0;0;98304;49152;0;12288;1;1;128;1;1;1;0,083;0,167
2,00;1,92;1,50;14336;0;2;1;0;0;0;1;0;0;0;0;0;0;114688;57344;0;14336;1;1;128;1;1;1;0,083;0,167
1,91;1,86;1,47;16384;0;2;1;0;0;0;1;0;0;0;0;0;0;131072;65536;0;16384;1;1;128;1;1;1;0,083;0,167
1,91;1,80;1,44;18432;0;2;1;0;0;0;1;0;0;0;0;0;0;147456;73728;0;18432;1;1;128;1;1;1;0,083;0,167
1,99;1,95;1,51;20480;0;2;1;0;0;0;1;0;0;0;0;0;0;163840;81920;0;20480;1;1;128;1;1;1;0,083;0,167
