Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,65536.00,32768.00,0.00,8192.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.88,1.59,1.16
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,131072.00,65536.00,0.00,16384.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.89,1.70,1.51
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,196608.00,98304.00,0.00,24576.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.74,2.03,1.62
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,262144.00,131072.00,0.00,32768.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.79,2.02,1.59
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,327680.00,163840.00,0.00,40960.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.87,1.97,1.46
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,393216.00,196608.00,0.00,49152.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.70,2.01,1.77
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,458752.00,229376.00,0.00,57344.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.79,2.24,1.54
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,524288.00,262144.00,0.00,65536.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.75,1.92,1.54
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,589824.00,294912.00,0.00,73728.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.84,1.96,1.56
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,655360.00,327680.00,0.00,81920.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.83,2.11,1.59
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,720896.00,360448.00,0.00,90112.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.86,2.08,1.75
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,786432.00,393216.00,0.00,98304.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,1.93,2.11,1.79
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,851968.00,425984.00,0.00,106496.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.08,2.15,1.74
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,917504.00,458752.00,0.00,114688.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.08,2.33,1.95
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,983040.00,491520.00,0.00,122880.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.13,2.17,1.78
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1048576.00,524288.00,0.00,131072.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.18,2.35,1.89
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1114112.00,557056.00,0.00,139264.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.22,2.38,1.88
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1179648.00,589824.00,0.00,147456.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.30,2.44,1.90
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1245184.00,622592.00,0.00,155648.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.42,2.48,2.10
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1310720.00,655360.00,0.00,163840.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.49,2.53,2.19
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1376256.00,688128.00,0.00,172032.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.50,2.55,1.72
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1441792.00,720896.00,0.00,180224.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.58,2.69,2.07
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1507328.00,753664.00,0.00,188416.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.63,2.71,2.10
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1572864.00,786432.00,0.00,196608.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.69,2.90,2.29
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1638400.00,819200.00,0.00,204800.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.73,2.85,2.31
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1703936.00,851968.00,0.00,212992.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.72,2.99,2.31
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1769472.00,884736.00,0.00,221184.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.62,2.70,1.92
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1835008.00,917504.00,0.00,229376.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.80,3.00,2.45
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1900544.00,950272.00,0.00,237568.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.83,2.96,2.37
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1966080.00,983040.00,0.00,245760.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.81,3.08,2.51
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2031616.00,1015808.00,0.00,253952.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.86,3.12,2.36
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2097152.00,1048576.00,0.00,262144.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.90,3.02,2.60
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2162688.00,1081344.00,0.00,270336.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.84,2.86,2.74
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2228224.00,1114112.00,0.00,278528.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.96,3.09,2.66
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2293760.00,1146880.00,0.00,286720.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,2.99,3.13,2.56
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2359296.00,1179648.00,0.00,294912.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.01,3.08,2.68
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2424832.00,1212416.00,0.00,303104.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.04,3.20,2.68
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2490368.00,1245184.00,0.00,311296.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.08,3.30,2.67
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2555904.00,1277952.00,0.00,319488.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.10,3.22,3.07
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2621440.00,1310720.00,0.00,327680.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.06,3.30,2.70
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2686976.00,1343488.00,0.00,335872.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.18,3.29,2.81
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2752512.00,1376256.00,0.00,344064.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.18,3.39,2.90
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2818048.00,1409024.00,0.00,352256.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.21,3.42,2.96
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2883584.00,1441792.00,0.00,360448.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.29,3.49,2.82
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,2949120.00,1474560.00,0.00,368640.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.27,3.40,2.84
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3014656.00,1507328.00,0.00,376832.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.29,3.38,2.91
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3080192.00,1540096.00,0.00,385024.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.36,3.45,2.85
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3145728.00,1572864.00,0.00,393216.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.37,3.57,2.93
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3211264.00,1605632.00,0.00,401408.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.42,3.52,2.96
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3276800.00,1638400.00,0.00,409600.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.44,3.54,2.96
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3342336.00,1671168.00,0.00,417792.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.47,3.58,3.25
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3407872.00,1703936.00,0.00,425984.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.39,3.38,2.86
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3473408.00,1736704.00,0.00,434176.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.52,3.63,3.08
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3538944.00,1769472.00,0.00,442368.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.58,3.67,3.22
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3604480.00,1802240.00,0.00,450560.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.58,3.70,3.34
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3670016.00,1835008.00,0.00,458752.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.60,3.79,3.22
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3735552.00,1867776.00,0.00,466944.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.62,3.90,3.23
0,0.00,2.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3801088.00,1900544.00,0.00,475136.00,1.00,1.00,128.00,1.00,1.00,0.00,0.125,2.00,0.00,0.5,0.00,0.00,1.00,3.54,3.53,3.34
