Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0,2,1,0,0,0,1,0,0,0,0,0,0,2097152,1048576,0,262144,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,3.4,4.34,2.55
0,0,2,1,0,0,0,1,0,0,0,0,0,0,4194304,2097152,0,524288,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,5.07,7.16,3.9
0,0,2,1,0,0,0,1,0,0,0,0,0,0,6291456,3145728,0,786432,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,6.48,9.29,4.64
0,0,2,1,0,0,0,1,0,0,0,0,0,0,8388608,4194304,0,1048576,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,7.98,11.81,5.44
0,0,2,1,0,0,0,1,0,0,0,0,0,0,10485760,5242880,0,1310720,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,9.38,14.06,6.23
0,0,2,1,0,0,0,1,0,0,0,0,0,0,12582912,6291456,0,1572864,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,10.91,16.4,7.32
0,0,2,1,0,0,0,1,0,0,0,0,0,0,14680064,7340032,0,1835008,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,12.56,18.72,8.76
0,0,2,1,0,0,0,1,0,0,0,0,0,0,16777216,8388608,0,2097152,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,14.06,20.96,8.98
0,0,2,1,0,0,0,1,0,0,0,0,0,0,18874368,9437184,0,2359296,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,12.3,17.67,10.38
0,0,2,1,0,0,0,1,0,0,0,0,0,0,20971520,10485760,0,2621440,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,13.35,19.28,11.4
0,0,2,1,0,0,0,1,0,0,0,0,0,0,23068672,11534336,0,2883584,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,14.29,21.17,12.2
0,0,2,1,0,0,0,1,0,0,0,0,0,0,25165824,12582912,0,3145728,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,15.32,22.66,14.33
0,0,2,1,0,0,0,1,0,0,0,0,0,0,27262976,13631488,0,3407872,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,16.3,24.13,14.17
0,0,2,1,0,0,0,1,0,0,0,0,0,0,29360128,14680064,0,3670016,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,17.36,25.83,15.7
0,0,2,1,0,0,0,1,0,0,0,0,0,0,31457280,15728640,0,3932160,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,18.33,27.77,16.38
0,0,2,1,0,0,0,1,0,0,0,0,0,0,33554432,16777216,0,4194304,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,19.61,28.93,17.39
0,0,2,1,0,0,0,1,0,0,0,0,0,0,35651584,17825792,0,4456448,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,20.41,31.22,18.41
0,0,2,1,0,0,0,1,0,0,0,0,0,0,37748736,18874368,0,4718592,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,21.34,32.56,20.45
0,0,2,1,0,0,0,1,0,0,0,0,0,0,39845888,19922944,0,4980736,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,22.34,33.69,20.83
0,0,2,1,0,0,0,1,0,0,0,0,0,0,41943040,20971520,0,5242880,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,23.13,35.59,21.31
0,0,2,1,0,0,0,1,0,0,0,0,0,0,44040192,22020096,0,5505024,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,24.24,36.91,22.84
0,0,2,1,0,0,0,1,0,0,0,0,0,0,46137344,23068672,0,5767168,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,26.32,41.42,23.79
0,0,2,1,0,0,0,1,0,0,0,0,0,0,48234496,24117248,0,6029312,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,27.56,43.57,24.6
0,0,2,1,0,0,0,1,0,0,0,0,0,0,50331648,25165824,0,6291456,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,28.08,45.32,25.6
0,0,2,1,0,0,0,1,0,0,0,0,0,0,52428800,26214400,0,6553600,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,29.49,46.86,26.67
0,0,2,1,0,0,0,1,0,0,0,0,0,0,54525952,27262976,0,6815744,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,30.54,48.27,27.98
0,0,2,1,0,0,0,1,0,0,0,0,0,0,56623104,28311552,0,7077888,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,31.29,50.34,28.1
0,0,2,1,0,0,0,1,0,0,0,0,0,0,58720256,29360128,0,7340032,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,32.24,52.92,28.95
0,0,2,1,0,0,0,1,0,0,0,0,0,0,60817408,30408704,0,7602176,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,33.36,53.5,31.38
0,0,2,1,0,0,0,1,0,0,0,0,0,0,62914560,31457280,0,7864320,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,34.05,54.53,32.04
