Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0,2,1,0,0,0,1,0,0,0,0,0,0,2097152,1048576,0,262144,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,3.33,3.28,2.36
0,0,2,1,0,0,0,1,0,0,0,0,0,0,4194304,2097152,0,524288,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,4.18,4.19,4.35
0,0,2,1,0,0,0,1,0,0,0,0,0,0,6291456,3145728,0,786432,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,4.96,5.26,4.56
0,0,2,1,0,0,0,1,0,0,0,0,0,0,8388608,4194304,0,1048576,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,6.05,6.31,5.23
0,0,2,1,0,0,0,1,0,0,0,0,0,0,10485760,5242880,0,1310720,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,6.90,7.02,6.53
0,0,2,1,0,0,0,1,0,0,0,0,0,0,12582912,6291456,0,1572864,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,7.85,8.01,6.96
0,0,2,1,0,0,0,1,0,0,0,0,0,0,14680064,7340032,0,1835008,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,8.96,8.74,8.14
0,0,2,1,0,0,0,1,0,0,0,0,0,0,16777216,8388608,0,2097152,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,9.80,9.97,9.36
0,0,2,1,0,0,0,1,0,0,0,0,0,0,18874368,9437184,0,2359296,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,10.68,10.45,9.87
0,0,2,1,0,0,0,1,0,0,0,0,0,0,20971520,10485760,0,2621440,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,11.67,11.59,11.10
0,0,2,1,0,0,0,1,0,0,0,0,0,0,23068672,11534336,0,2883584,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,12.59,12.37,12.78
0,0,2,1,0,0,0,1,0,0,0,0,0,0,25165824,12582912,0,3145728,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,13.73,13.22,13.20
0,0,2,1,0,0,0,1,0,0,0,0,0,0,27262976,13631488,0,3407872,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,14.29,14.09,14.28
0,0,2,1,0,0,0,1,0,0,0,0,0,0,29360128,14680064,0,3670016,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,15.23,15.07,15.18
0,0,2,1,0,0,0,1,0,0,0,0,0,0,31457280,15728640,0,3932160,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,16.06,15.76,17.28
0,0,2,1,0,0,0,1,0,0,0,0,0,0,33554432,16777216,0,4194304,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,16.82,16.36,17.00
0,0,2,1,0,0,0,1,0,0,0,0,0,0,35651584,17825792,0,4456448,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,17.65,17.35,18.68
0,0,2,1,0,0,0,1,0,0,0,0,0,0,37748736,18874368,0,4718592,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,18.96,18.49,18.92
