Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Num groups,Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Cache Misses,Miss Ratio,Tahiti Compute units,Devastator compute units,Tahit batch count,Devastator batch count,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms)
0,0,2,1,0,0,0,1,0,0,0,0,0,0,1048576,524288,0,131072,1,1,128,1,1,1024,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,2.2,2.32,2.24
0,0,2,1,0,0,0,1,0,0,0,0,0,0,2097152,1048576,0,262144,1,1,128,1,1,2048,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,2.8,3.11,2.92
0,0,2,1,0,0,0,1,0,0,0,0,0,0,3145728,1572864,0,393216,1,1,128,1,1,3072,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,3.5,3.71,3.15
0,0,2,1,0,0,0,1,0,0,0,0,0,0,4194304,2097152,0,524288,1,1,128,1,1,4096,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,3.92,3.98,3.59
0,0,2,1,0,0,0,1,0,0,0,0,0,0,5242880,2621440,0,655360,1,1,128,1,1,5120,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,4.3,4.38,3.72
0,0,2,1,0,0,0,1,0,0,0,0,0,0,6291456,3145728,0,786432,1,1,128,1,1,6144,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,4.6,4.75,4.08
0,0,2,1,0,0,0,1,0,0,0,0,0,0,7340032,3670016,0,917504,1,1,128,1,1,7168,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,5.19,5.29,4.5
0,0,2,1,0,0,0,1,0,0,0,0,0,0,8388608,4194304,0,1048576,1,1,128,1,1,8192,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,5.6,5.73,4.84
0,0,2,1,0,0,0,1,0,0,0,0,0,0,9437184,4718592,0,1179648,1,1,128,1,1,9216,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,5.84,5.81,6.41
0,0,2,1,0,0,0,1,0,0,0,0,0,0,10485760,5242880,0,1310720,1,1,128,1,1,10240,0,0.125,2,0,0.5,0,0,1,0,0,32,6,0,0,6.46,6.64,5.64
