Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Cache Misses,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms),cache misses manuali,least set bit,Tahiti Compute units,Devastator compute units,Tahiti job count,Devastator job count,Num groups
0,0,2,1,0,0,0,1,0,0,0,0,0,0,2097152,1048576,0,262144,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,3.33,3.28,2.36,32768,262144,32,6,64,342,2048
0,0,2,1,0,0,0,1,0,0,0,0,0,0,4194304,2097152,0,524288,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,4.18,4.19,4.35,65536,524288,32,6,128,683,4096
0,0,2,1,0,0,0,1,0,0,0,0,0,0,6291456,3145728,0,786432,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,4.96,5.26,4.56,98304,262144,32,6,192,1024,6144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,8388608,4194304,0,1048576,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,6.05,6.31,5.23,131072,1048576,32,6,256,1366,8192
0,0,2,1,0,0,0,1,0,0,0,0,0,0,10485760,5242880,0,1310720,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,6.90,7.02,6.53,163840,262144,32,6,320,1707,10240
0,0,2,1,0,0,0,1,0,0,0,0,0,0,12582912,6291456,0,1572864,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,7.85,8.01,6.96,196608,524288,32,6,384,2048,12288
0,0,2,1,0,0,0,1,0,0,0,0,0,0,14680064,7340032,0,1835008,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,8.96,8.74,8.14,229376,262144,32,6,448,2390,14336
0,0,2,1,0,0,0,1,0,0,0,0,0,0,16777216,8388608,0,2097152,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,9.80,9.97,9.36,262144,2097152,32,6,512,2731,16384
0,0,2,1,0,0,0,1,0,0,0,0,0,0,18874368,9437184,0,2359296,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,10.68,10.45,9.87,294912,262144,32,6,576,3072,18432
0,0,2,1,0,0,0,1,0,0,0,0,0,0,20971520,10485760,0,2621440,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,11.67,11.59,11.10,327680,524288,32,6,640,3414,20480
0,0,2,1,0,0,0,1,0,0,0,0,0,0,23068672,11534336,0,2883584,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,12.59,12.37,12.78,360448,262144,32,6,704,3755,22528
0,0,2,1,0,0,0,1,0,0,0,0,0,0,25165824,12582912,0,3145728,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,13.73,13.22,13.20,393216,1048576,32,6,768,4096,24576
0,0,2,1,0,0,0,1,0,0,0,0,0,0,27262976,13631488,0,3407872,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,14.29,14.09,14.28,425984,262144,32,6,832,4438,26624
0,0,2,1,0,0,0,1,0,0,0,0,0,0,29360128,14680064,0,3670016,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,15.23,15.07,15.18,458752,524288,32,6,896,4779,28672
0,0,2,1,0,0,0,1,0,0,0,0,0,0,31457280,15728640,0,3932160,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,16.06,15.76,17.28,491520,262144,32,6,960,5120,30720
0,0,2,1,0,0,0,1,0,0,0,0,0,0,33554432,16777216,0,4194304,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,16.82,16.36,17.00,524288,4194304,32,6,1024,5462,32768
0,0,2,1,0,0,0,1,0,0,0,0,0,0,35651584,17825792,0,4456448,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,17.65,17.35,18.68,557056,262144,32,6,1088,5803,34816
0,0,2,1,0,0,0,1,0,0,0,0,0,0,37748736,18874368,0,4718592,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,18.96,18.49,18.92,589824,524288,32,6,1152,6144,36864
0,0,2,1,0,0,0,1,0,0,0,0,0,0,39845888,19922944,0,4980736,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,19.48,19.37,20.06,622592,262144,32,6,1216,6486,38912
0,0,2,1,0,0,0,1,0,0,0,0,0,0,41943040,20971520,0,5242880,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,20.69,20.26,20.28,655360,1048576,32,6,1280,6827,40960
0,0,2,1,0,0,0,1,0,0,0,0,0,0,44040192,22020096,0,5505024,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,21.50,21.01,22.15,688128,262144,32,6,1344,7168,43008
0,0,2,1,0,0,0,1,0,0,0,0,0,0,46137344,23068672,0,5767168,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,23.39,22.88,22.82,720896,524288,32,6,1408,7510,45056
0,0,2,1,0,0,0,1,0,0,0,0,0,0,48234496,24117248,0,6029312,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,23.93,23.52,23.87,753664,262144,32,6,1472,7851,47104
0,0,2,1,0,0,0,1,0,0,0,0,0,0,50331648,25165824,0,6291456,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,24.94,24.93,24.94,786432,2097152,32,6,1536,8192,49152
