Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Cache Misses,GeForce GT 640 Completion Time (ms),        Intel(R) Core(TM) i3-3240 CPU @ 3.40GHz Completion Time (ms),cache misses manuali,least set bit
0,0,2,1,0,0,0,1,0,0,0,0,0,0,2097152,1048576,0,262144,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,4.77,1.56,32768,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,4194304,2097152,0,524288,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,5.3,1.89,65536,524288
0,0,2,1,0,0,0,1,0,0,0,0,0,0,6291456,3145728,0,786432,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,6.22,2.16,98304,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,8388608,4194304,0,1048576,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,7.22,2.51,131072,1048576
0,0,2,1,0,0,0,1,0,0,0,0,0,0,10485760,5242880,0,1310720,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,8.68,2.79,163840,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,12582912,6291456,0,1572864,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,9.64,2.86,196608,524288
0,0,2,1,0,0,0,1,0,0,0,0,0,0,14680064,7340032,0,1835008,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,10.66,3.22,229376,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,16777216,8388608,0,2097152,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,11.57,3.43,262144,2097152
0,0,2,1,0,0,0,1,0,0,0,0,0,0,18874368,9437184,0,2359296,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,12.75,3.73,294912,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,20971520,10485760,0,2621440,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,13.6,4.08,327680,524288
0,0,2,1,0,0,0,1,0,0,0,0,0,0,23068672,11534336,0,2883584,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,14.89,4.29,360448,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,25165824,12582912,0,3145728,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,15.85,4.6,393216,1048576
