Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Cache Misses,Tahiti Completion Time (ms),Devastator Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms),cache misses 2M,least set bit
0,0,2,1,0,0,0,1,0,0,0,0,0,0,1048576,524288,0,131072,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,2.38,2.37,2.16,16384,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,2097152,1048576,0,262144,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,2.95,3.16,3.24,32768,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,3145728,1572864,0,393216,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,3.73,3.72,3.89,49152,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,4194304,2097152,0,524288,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,4.15,4.17,3.88,65536,524288
0,0,2,1,0,0,0,1,0,0,0,0,0,0,5242880,2621440,0,655360,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,4.36,4.52,5.31,81920,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,6291456,3145728,0,786432,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,4.84,5.26,5.96,98304,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,7340032,3670016,0,917504,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,5.34,5.37,5.98,114688,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,8388608,4194304,0,1048576,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,5.81,6.01,6.54,131072,1048576
0,0,2,1,0,0,0,1,0,0,0,0,0,0,9437184,4718592,0,1179648,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,6.25,6.41,6.63,147456,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,10485760,5242880,0,1310720,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,6.6,6.87,7.1,163840,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,11534336,5767168,0,1441792,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,6.87,7.28,7.62,180224,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,12582912,6291456,0,1572864,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,7.68,8.3,8.57,196608,524288
0,0,2,1,0,0,0,1,0,0,0,0,0,0,13631488,6815744,0,1703936,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,8.04,8.14,9.1,212992,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,14680064,7340032,0,1835008,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,8.44,8.61,9.72,229376,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,15728640,7864320,0,1966080,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,8.98,9.15,10.14,245760,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,16777216,8388608,0,2097152,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,9.62,9.6,13.77,262144,2097152
0,0,2,1,0,0,0,1,0,0,0,0,0,0,17825792,8912896,0,2228224,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,9.73,9.87,11.05,278528,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,18874368,9437184,0,2359296,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,10.39,10.61,11.76,294912,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,19922944,9961472,0,2490368,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,10.76,10.87,12.86,311296,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,20971520,10485760,0,2621440,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,11.25,11.18,12.55,327680,524288
0,0,2,1,0,0,0,1,0,0,0,0,0,0,22020096,11010048,0,2752512,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,11.72,11.81,13.08,344064,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,23068672,11534336,0,2883584,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,12.12,12.57,13.57,360448,262144
0,0,2,1,0,0,0,1,0,0,0,0,0,0,24117248,12058624,0,3014656,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,12.59,12.39,14.12,376832,131072
0,0,2,1,0,0,0,1,0,0,0,0,0,0,25165824,12582912,0,3145728,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,13.06,13,18.37,393216,1048576
