Training sample index,Branch count,Read accesses to global memory (per thread),Write accesses to global memory (per thread),Read accesses to local memory (per thread),Write accesses to local memory (per thread),Read accesses to constant memory (per thread),Arithmetic operations (per thread),Logic operations (per thread),Bitwise operations (per thread),Comparison operations (per thread),Pown operations (per thread),Sqrt operations (per thread),Hypot operations (per thread),Data size transf from host to device (bytes),Data size transf from device to host (bytes),Data size allocated locally (bytes),Global work size dim 1 (number of threads),Global work size dim 2 (number of threads),Global work size dim 3 (number of threads),Local work size dim 1 (number of threads),Local work size dim 2 (number of threads),Local work size dim 3 (number of threads),Loop iterations,Intra cache usage global,Inter cache usage global,Intra collision global,Intra cohaleshing global,Intra cache usage local,Intra collision local,Intra cohaleshing local,Cache Misses,Tahiti Completion Time (ms),Tahiti Completion Time STDDEV,Devastator Completion Time (ms),Devastator Completion Time STDDEV,AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms),AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time STDDEV
0,0,2,1,0,0,0,1,0,0,0,0,0,0,1048576,524288,0,131072,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,1.92,3.17704265,1.72,2.80385449,1.6,2.607680962
0,0,2,1,0,0,0,1,0,0,0,0,0,0,2097152,1048576,0,262144,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,2.68,3.469524463,2.65,3.102821297,2.77,2.904668656
0,0,2,1,0,0,0,1,0,0,0,0,0,0,3145728,1572864,0,393216,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,3.12,2.916436181,3.18,2.857901328,3.62,2.995930573
0,0,2,1,0,0,0,1,0,0,0,0,0,0,4194304,2097152,0,524288,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,3.81,3.189655154,3.88,3.305389538,4.06,2.887282459
0,0,2,1,0,0,0,1,0,0,0,0,0,0,5242880,2621440,0,655360,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,4.09,3.114787312,4.48,3.628994351,5.27,2.734428642
0,0,2,1,0,0,0,1,0,0,0,0,0,0,6291456,3145728,0,786432,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,4.48,2.041959843,4.78,2.586812711,5.63,2.460304859
0,0,2,1,0,0,0,1,0,0,0,0,0,0,7340032,3670016,0,917504,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,4.64,2.523965134,4.85,2.743628984,5.95,2.65471279
0,0,2,1,0,0,0,1,0,0,0,0,0,0,8388608,4194304,0,1048576,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,5.41,2.400395801,5.87,3.11979166,7.73,3.258389173
0,0,2,1,0,0,0,1,0,0,0,0,0,0,9437184,4718592,0,1179648,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,5.57,2.031034219,5.82,2.797784838,6.53,3.008172203
0,0,2,1,0,0,0,1,0,0,0,0,0,0,10485760,5242880,0,1310720,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,6.28,2.627089644,6.39,2.323338116,7.02,2.866984479
0,0,2,1,0,0,0,1,0,0,0,0,0,0,11534336,5767168,0,1441792,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,6.72,2.71691001,6.87,2.667039557,7.54,2.858041287
0,0,2,1,0,0,0,1,0,0,0,0,0,0,12582912,6291456,0,1572864,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,7.32,2.505513919,7.26,2.356353114,11.53,3.788020591
0,0,2,1,0,0,0,1,0,0,0,0,0,0,13631488,6815744,0,1703936,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,7.69,2.472630179,7.79,2.434317153,9.64,3.312159416
0,0,2,1,0,0,0,1,0,0,0,0,0,0,14680064,7340032,0,1835008,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,8.02,2.619083809,8.35,3.835035854,9.16,2.766658635
0,0,2,1,0,0,0,1,0,0,0,0,0,0,15728640,7864320,0,1966080,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,8.65,2.422292303,8.66,2.486845391,10.36,3.157594021
0,0,2,1,0,0,0,1,0,0,0,0,0,0,16777216,8388608,0,2097152,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,8.69,2.614172909,9,2.626785107,10.57,2.943654192
0,0,2,1,0,0,0,1,0,0,0,0,0,0,17825792,8912896,0,2228224,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,9.52,2.422725738,9.58,2.392404648,11.08,3.110241148
0,0,2,1,0,0,0,1,0,0,0,0,0,0,18874368,9437184,0,2359296,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,9.88,2.562342678,10.18,2.836829216,11.76,3.215960199
0,0,2,1,0,0,0,1,0,0,0,0,0,0,19922944,9961472,0,2490368,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,10.53,2.406054862,10.68,2.880555502,12.47,4.2507764
0,0,2,1,0,0,0,1,0,0,0,0,0,0,20971520,10485760,0,2621440,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,10.87,2.243457154,10.89,2.529407045,12.43,2.874908694
0,0,2,1,0,0,0,1,0,0,0,0,0,0,22020096,11010048,0,2752512,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,11.6,2.716615541,11.31,2.693306518,13.14,2.946251856
0,0,2,1,0,0,0,1,0,0,0,0,0,0,23068672,11534336,0,2883584,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,11.77,2.75628373,11.93,2.804478561,13.57,3.293189943
0,0,2,1,0,0,0,1,0,0,0,0,0,0,24117248,12058624,0,3014656,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,12.15,2.836811591,12.17,2.973398729,17.6,4.144876355
0,0,2,1,0,0,0,1,0,0,0,0,0,0,25165824,12582912,0,3145728,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,12.76,2.276488524,12.79,4.530551843,18.05,4.626823965
0,0,2,1,0,0,0,1,0,0,0,0,0,0,26214400,13107200,0,3276800,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,13.23,2.505414137,13.26,2.931279584,15.55,3.377499075
0,0,2,1,0,0,0,1,0,0,0,0,0,0,27262976,13631488,0,3407872,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,13.62,2.59530345,13.7,2.858321186,15.86,2.912112635
0,0,2,1,0,0,0,1,0,0,0,0,0,0,28311552,14155776,0,3538944,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,14.15,3.144439537,13.99,2.666439574,16.91,3.834305674
0,0,2,1,0,0,0,1,0,0,0,0,0,0,29360128,14680064,0,3670016,1,1,128,1,1,0,0.125,2,0,0.5,0,0,1,0,14.39,2.859702782,14.36,2.740510901,20.64,4.819792527
