Discrete GPU Completion time (ms); Integrated GPU Completion time (ms); CPU completion time (ms); Matrix size (elements);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads;Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread)
1.96;1.95;1.9;4096;64;64;1;16;16;1;32768;16384;0;0;128;1;0;0;0;264
2.94;3.94;2.62;16384;128;128;1;16;16;1;131072;65536;0;0;256;1;0;0;0;528
2.66;4.56;4.47;36864;192;192;1;16;16;1;294912;147456;0;0;384;1;0;0;0;792
3.23;6.5;9.13;65536;256;256;1;16;16;1;524288;262144;0;0;512;1;0;0;0;1056
4.1;10.45;13.16;102400;320;320;1;16;16;1;819200;409600;0;0;640;1;0;0;0;1320
4.79;15.78;23.33;147456;384;384;1;16;16;1;1179648;589824;0;0;768;1;0;0;0;1584
5.66;25.64;29.7;200704;448;448;1;16;16;1;1605632;802816;0;0;896;1;0;0;0;1848
7.29;34.47;47.96;262144;512;512;1;16;16;1;2097152;1048576;0;0;1024;1;0;0;0;2112
9.45;47.14;65.61;331776;576;576;1;16;16;1;2654208;1327104;0;0;1152;1;0;0;0;2376
11.73;63.47;87.26;409600;640;640;1;16;16;1;3276800;1638400;0;0;1280;1;0;0;0;2640
15.97;82.82;117.96;495616;704;704;1;16;16;1;3964928;1982464;0;0;1408;1;0;0;0;2904
8.89;106.9;151.52;589824;768;768;1;16;16;1;4718592;2359296;0;0;1536;1;0;0;0;3168
9.88;133.4;191.17;692224;832;832;1;16;16;1;5537792;2768896;0;0;1664;1;0;0;0;3432
11.98;164.69;238.83;802816;896;896;1;16;16;1;6422528;3211264;0;0;1792;1;0;0;0;3696
14.29;201.61;289.05;921600;960;960;1;16;16;1;7372800;3686400;0;0;1920;1;0;0;0;3960
28.21;243.98;354.78;1048576;1024;1024;1;16;16;1;8388608;4194304;0;0;2048;1;0;0;0;4224
