Tahiti Completion Time (ms);Devastator Completion Time (ms);AMD A10-5800K APU with Radeon(tm) HD Graphics   Completion Time (ms);Vector Size (elements);Block Size (elements);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread);Logic operations (per thread);Bitwise operations (per thread);Comparison operations (per thread);Pown operations (per thread);Sqrt operations (per thread);Hypot operations (per thread);Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads);Kernel calls
9,16;9,51;9,09;2048;64;2;2;96;2;0;0;0;198;0;0;2;0;0;0;8192;128;0;33;2;2;33;2;2
10,75;11,04;7,89;2048;128;2;2;144;2;0;0;0;294;0;0;2;0;0;0;8192;64;0;17;2;2;17;2;2
9,73;9,46;8,93;2048;256;2;2;264;2;0;0;0;534;0;0;2;0;0;0;8192;32;0;9;2;2;9;2;2
9,33;8,27;7,72;2048;512;2;2;516;2;0;0;0;1038;0;0;2;0;0;0;8192;16;0;5;2;2;5;2;2
10,20;9,82;8,82;2048;1024;2;2;1026;2;0;0;0;2058;0;0;2;0;0;0;8192;8;0;3;2;2;3;2;2
9,53;9,78;8,31;4096;128;2;2;160;2;0;0;0;326;0;0;2;0;0;0;16384;128;0;33;2;2;33;2;2
8,82;8,75;7,89;4096;256;2;2;272;2;0;0;0;550;0;0;2;0;0;0;16384;64;0;17;2;2;17;2;2
10,89;10,33;9,34;4096;512;2;2;520;2;0;0;0;1046;0;0;2;0;0;0;16384;32;0;9;2;2;9;2;2
10,06;9,32;8,37;4096;1024;2;2;1028;2;0;0;0;2062;0;0;2;0;0;0;16384;16;0;5;2;2;5;2;2
10,50;9,58;8,37;4096;2048;2;2;2050;2;0;0;0;4106;0;0;2;0;0;0;16384;8;0;3;2;2;3;2;2
10,25;9,19;8,87;8192;256;2;2;288;2;0;0;0;582;0;0;2;0;0;0;32768;128;0;33;2;2;33;2;2
11,61;10,47;10,36;8192;512;2;2;528;2;0;0;0;1062;0;0;2;0;0;0;32768;64;0;17;2;2;17;2;2
9,93;8,76;8,01;8192;1024;2;2;1032;2;0;0;0;2070;0;0;2;0;0;0;32768;32;0;9;2;2;9;2;2
11,94;11,33;9,00;8192;2048;2;2;2052;2;0;0;0;4110;0;0;2;0;0;0;32768;16;0;5;2;2;5;2;2
12,76;10,96;8,98;8192;4096;2;2;4098;2;0;0;0;8202;0;0;2;0;0;0;32768;8;0;3;2;2;3;2;2
10,33;9,87;9,75;16384;512;2;2;544;2;0;0;0;1094;0;0;2;0;0;0;65536;128;0;33;2;2;33;2;2
12,66;11,67;11,72;16384;1024;2;2;1040;2;0;0;0;2086;0;0;2;0;0;0;65536;64;0;17;2;2;17;2;2
10,58;9,72;8,79;16384;2048;2;2;2056;2;0;0;0;4118;0;0;2;0;0;0;65536;32;0;9;2;2;9;2;2
13,64;11,81;11,13;16384;4096;2;2;4100;2;0;0;0;8206;0;0;2;0;0;0;65536;16;0;5;2;2;5;2;2
16,24;12,10;8,33;16384;8192;2;2;8194;2;0;0;0;16394;0;0;2;0;0;0;65536;8;0;3;2;2;3;2;2
11,90;10,47;10,08;32768;1024;2;2;1056;2;0;0;0;2118;0;0;2;0;0;0;131072;128;0;33;2;2;33;2;2
13,04;12,54;9,70;32768;2048;2;2;2064;2;0;0;0;4134;0;0;2;0;0;0;131072;64;0;17;2;2;17;2;2
11,91;10,04;7,95;32768;4096;2;2;4104;2;0;0;0;8214;0;0;2;0;0;0;131072;32;0;9;2;2;9;2;2
16,17;12,31;8,73;32768;8192;2;2;8196;2;0;0;0;16398;0;0;2;0;0;0;131072;16;0;5;2;2;5;2;2
14,50;15,91;8,57;32768;16384;2;2;16386;2;0;0;0;32778;0;0;2;0;0;0;131072;8;0;3;2;2;3;2;2
17,23;9,97;7,20;65536;2048;2;2;2080;2;0;0;0;4166;0;0;2;0;0;0;262144;128;0;33;2;2;33;2;2
12,96;10,61;8,42;65536;4096;2;2;4112;2;0;0;0;8230;0;0;2;0;0;0;262144;64;0;17;2;2;17;2;2
17,17;12,78;8,72;65536;8192;2;2;8200;2;0;0;0;16406;0;0;2;0;0;0;262144;32;0;9;2;2;9;2;2
15,75;21,12;7,50;65536;16384;2;2;16388;2;0;0;0;32782;0;0;2;0;0;0;262144;16;0;5;2;2;5;2;2
19,07;21,44;8,24;65536;32768;2;2;32770;2;0;0;0;65546;0;0;2;0;0;0;262144;8;0;3;2;2;3;2;2
14,43;11,23;8,25;131072;4096;2;2;4128;2;0;0;0;8262;0;0;2;0;0;0;524288;128;0;33;2;2;33;2;2
16,43;12,12;8,23;131072;8192;2;2;8208;2;0;0;0;16422;0;0;2;0;0;0;524288;64;0;17;2;2;17;2;2
15,24;16,23;8,44;131072;16384;2;2;16392;2;0;0;0;32790;0;0;2;0;0;0;524288;32;0;9;2;2;9;2;2
20,15;22,24;8,68;131072;32768;2;2;32772;2;0;0;0;65550;0;0;2;0;0;0;524288;16;0;5;2;2;5;2;2
31,08;35,80;7,82;131072;65536;2;2;65538;2;0;0;0;131082;0;0;2;0;0;0;524288;8;0;3;2;2;3;2;2
17,42;13,57;9,04;262144;8192;2;2;8224;2;0;0;0;16454;0;0;2;0;0;0;1048576;128;0;33;2;2;33;2;2
15,71;16,27;9,50;262144;16384;2;2;16400;2;0;0;0;32806;0;0;2;0;0;0;1048576;64;0;17;2;2;17;2;2
34,78;21,87;7,69;262144;32768;2;2;32776;2;0;0;0;65558;0;0;2;0;0;0;1048576;32;0;9;2;2;9;2;2
32,13;38,50;9,08;262144;65536;2;2;65540;2;0;0;0;131086;0;0;2;0;0;0;1048576;16;0;5;2;2;5;2;2
57,68;66,69;8,04;262144;131072;2;2;131074;2;0;0;0;262154;0;0;2;0;0;0;1048576;8;0;3;2;2;3;2;2
15,41;16,97;8,93;524288;16384;2;2;16416;2;0;0;0;32838;0;0;2;0;0;0;2097152;128;0;33;2;2;33;2;2
20,68;23,89;10,21;524288;32768;2;2;32784;2;0;0;0;65574;0;0;2;0;0;0;2097152;64;0;17;2;2;17;2;2
35,02;40,70;15,66;524288;65536;2;2;65544;2;0;0;0;131094;0;0;2;0;0;0;2097152;32;0;9;2;2;9;2;2
58,40;67,52;8,18;524288;131072;2;2;131076;2;0;0;0;262158;0;0;2;0;0;0;2097152;16;0;5;2;2;5;2;2
99,86;115,35;8,74;524288;262144;2;2;262146;2;0;0;0;524298;0;0;2;0;0;0;2097152;8;0;3;2;2;3;2;2
22,10;25,66;9,40;1048576;32768;2;2;32800;2;0;0;0;65606;0;0;2;0;0;0;4194304;128;0;33;2;2;33;2;2
35,99;43,29;9,50;1048576;65536;2;2;65552;2;0;0;0;131110;0;0;2;0;0;0;4194304;64;0;17;2;2;17;2;2
61,95;68,55;8,29;1048576;131072;2;2;131080;2;0;0;0;262166;0;0;2;0;0;0;4194304;32;0;9;2;2;9;2;2
101,31;115,50;8,92;1048576;262144;2;2;262148;2;0;0;0;524302;0;0;2;0;0;0;4194304;16;0;5;2;2;5;2;2
183,37;210,21;8,55;1048576;524288;2;2;524290;2;0;0;0;1048586;0;0;2;0;0;0;4194304;8;0;3;2;2;3;2;2
36,07;43,85;10,00;2097152;65536;2;2;65568;2;0;0;0;131142;0;0;2;0;0;0;8388608;128;0;33;2;2;33;2;2
64,91;74,96;8,87;2097152;131072;2;2;131088;2;0;0;0;262182;0;0;2;0;0;0;8388608;64;0;17;2;2;17;2;2
102,05;118,65;9,39;2097152;262144;2;2;262152;2;0;0;0;524310;0;0;2;0;0;0;8388608;32;0;9;2;2;9;2;2
182,54;214,02;9,85;2097152;524288;2;2;524292;2;0;0;0;1048590;0;0;2;0;0;0;8388608;16;0;5;2;2;5;2;2
339,57;400,28;9,48;2097152;1048576;2;2;1048578;2;0;0;0;2097162;0;0;2;0;0;0;8388608;8;0;3;2;2;3;2;2
66,78;76,72;11,47;4194304;131072;2;2;131104;2;0;0;0;262214;0;0;2;0;0;0;16777216;128;0;33;2;2;33;2;2
108,53;124,66;10,83;4194304;262144;2;2;262160;2;0;0;0;524326;0;0;2;0;0;0;16777216;64;0;17;2;2;17;2;2
187,70;219,14;11,29;4194304;524288;2;2;524296;2;0;0;0;1048598;0;0;2;0;0;0;16777216;32;0;9;2;2;9;2;2
343,93;406,72;11,09;4194304;1048576;2;2;1048580;2;0;0;0;2097166;0;0;2;0;0;0;16777216;16;0;5;2;2;5;2;2
659,02;783,91;10,89;4194304;2097152;2;2;2097154;2;0;0;0;4194314;0;0;2;0;0;0;16777216;8;0;3;2;2;3;2;2
116,80;133,94;14,07;8388608;262144;2;2;262176;2;0;0;0;524358;0;0;2;0;0;0;33554432;128;0;33;2;2;33;2;2
198,81;231,51;13,64;8388608;524288;2;2;524304;2;0;0;0;1048614;0;0;2;0;0;0;33554432;64;0;17;2;2;17;2;2
351,97;419,01;13,67;8388608;1048576;2;2;1048584;2;0;0;0;2097174;0;0;2;0;0;0;33554432;32;0;9;2;2;9;2;2
669,22;793,48;13,80;8388608;2097152;2;2;2097156;2;0;0;0;4194318;0;0;2;0;0;0;33554432;16;0;5;2;2;5;2;2
1296,58;1549,10;13,80;8388608;4194304;2;2;4194306;2;0;0;0;8388618;0;0;2;0;0;0;33554432;8;0;3;2;2;3;2;2
213,09;248,97;19,16;16777216;524288;2;2;524320;2;0;0;0;1048646;0;0;2;0;0;0;67108864;128;0;33;2;2;33;2;2
373,29;444,04;19,23;16777216;1048576;2;2;1048592;2;0;0;0;2097190;0;0;2;0;0;0;67108864;64;0;17;2;2;17;2;2
689,97;819,58;19,04;16777216;2097152;2;2;2097160;2;0;0;0;4194326;0;0;2;0;0;0;67108864;32;0;9;2;2;9;2;2
1318,02;1568,96;19,76;16777216;4194304;2;2;4194308;2;0;0;0;8388622;0;0;2;0;0;0;67108864;16;0;5;2;2;5;2;2
2563,46;3065,76;19,46;16777216;8388608;2;2;8388610;2;0;0;0;1,677723E+07;0;0;2;0;0;0;67108864;8;0;3;2;2;3;2;2
407,31;478,52;30,48;33554432;1048576;2;2;1048608;2;0;0;0;2097222;0;0;2;0;0;0;134217728;128;0;33;2;2;33;2;2
