Discrete GPU Completion time (ms); Integrated GPU Completion time (ms); CPU completion time (ms); Vector size (elements);Global work size dim 1 (number of threads);Global work size dim 2 (number of threads);Global work size dim 3 (number of threads);Local work size dim 1 (number of threads);Local work size dim 2 (number of threads);Local work size dim 3 (number of threads;Data size transf from host to device (bytes);Data size transf from device to host (bytes);Data size allocated locally (bytes);Branch count (per thread);Read accesses to global memory (per thread);Write accesses to global memory (per thread);Read accesses to local memory (per thread);Write accesses to local memory (per thread);Read accesses to constant memory (per thread);Arithmetic operations (per thread)
1.51333333333333;1.25333333333333;0.826666666666667;4096;4096;1;1;128;1;1;32768;16384;0;0;2;1;0;0;0;1
1.23;1.30666666666667;0.886666666666667;8192;8192;1;1;128;1;1;65536;32768;0;0;2;1;0;0;0;1
1.35666666666667;1.35;0.89;16384;16384;1;1;128;1;1;131072;65536;0;0;2;1;0;0;0;1
1.47666666666667;1.31333333333333;0.943333333333333;32768;32768;1;1;128;1;1;262144;131072;0;0;2;1;0;0;0;1
1.78;1.42;0.95;65536;65536;1;1;128;1;1;524288;262144;0;0;2;1;0;0;0;1
2.13666666666667;1.88;1.25666666666667;131072;131072;1;1;128;1;1;1048576;524288;0;0;2;1;0;0;0;1
2.66333333333333;2.34;1.83;262144;262144;1;1;128;1;1;2097152;1048576;0;0;2;1;0;0;0;1
3.72666666666667;3.33;2.48333333333333;524288;524288;1;1;128;1;1;4194304;2097152;0;0;2;1;0;0;0;1
5.72;5.17666666666667;4.18666666666667;1048576;1048576;1;1;128;1;1;8388608;4194304;0;0;2;1;0;0;0;1
8.47666666666667;8.70333333333333;7.31333333333333;2097152;2097152;1;1;128;1;1;16777216;8388608;0;0;2;1;0;0;0;1
16.0766666666667;15.51;14.8666666666667;4194304;4194304;1;1;128;1;1;33554432;16777216;0;0;2;1;0;0;0;1
32.7766666666667;31.3633333333333;29.2266666666667;8388608;8388608;1;1;128;1;1;67108864;33554432;0;0;2;1;0;0;0;1
70.9733333333333;64.15;59.1166666666667;16777216;16777216;1;1;128;1;1;134217728;67108864;0;0;2;1;0;0;0;1
